time_input,IPTG_pre,aTc_pre,Var4,Var5
162,1,0,0.8,20
163,1,0,0.8,20
164,1,0,0.8,20
165,1,0,0.8,20
166,1,0,0.8,20
167,1,0,0.8,20
168,1,0,0.8,20
169,1,0,0.8,20
170,1,0,0.8,20
171,1,0,0.8,20
172,1,0,0.8,20
173,1,0,0.8,20
174,1,0,0.8,20
175,1,0,0.8,20
176,1,0,0.8,20
177,1,0,0.8,20
178,1,0,0.8,20
179,1,0,0.25,75
180,1,0,0.25,75
181,1,0,0.25,75
182,1,0,0.25,75
183,1,0,0.25,75
184,1,0,0.25,75
185,1,0,0.25,75
186,1,0,0.25,75
187,1,0,0.25,75
188,1,0,0.25,75
189,1,0,0.25,75
190,1,0,0.25,75
191,1,0,0.25,75
192,1,0,0.25,75
193,1,0,0.25,75
194,1,0,0.25,75
195,1,0,0.25,75
196,1,0,0.25,75
197,1,0,0.25,75
198,1,0,0.25,75
199,1,0,0.25,75
200,1,0,0.25,75
201,1,0,0.25,75
202,1,0,0.25,75
203,1,0,0.25,75
204,1,0,0.25,75
205,1,0,0.25,75
206,1,0,0.25,75
207,1,0,0.25,75
208,1,0,0.25,75
209,1,0,0.25,75
210,1,0,0.25,75
211,1,0,0.25,75
212,1,0,0.25,75
213,1,0,0.25,75
214,1,0,0.25,75
215,1,0,0.25,75
216,1,0,0.25,75
217,1,0,0.25,75
218,1,0,0.25,75
219,1,0,0.25,75
220,1,0,0.25,75
221,1,0,0.25,75
222,1,0,0.25,75
223,1,0,0.25,75
224,1,0,0.25,75
225,1,0,0.25,75
226,1,0,0.25,75
227,1,0,0.25,75
228,1,0,0.25,75
229,1,0,0.25,75
230,1,0,0.25,75
231,1,0,0.25,75
232,1,0,0.25,75
233,1,0,0.25,75
234,1,0,0.25,75
235,1,0,0.25,75
236,1,0,0.25,75
237,1,0,0.25,75
238,1,0,0.25,75
239,1,0,0.25,75
240,1,0,0.25,75
241,1,0,0.25,75
242,1,0,0.25,75
243,1,0,0.25,75
244,1,0,0.25,75
245,1,0,0.25,75
246,1,0,0.25,75
247,1,0,0.25,75
248,1,0,0.25,75
249,1,0,0.25,75
250,1,0,0.25,75
251,1,0,0.25,75
252,1,0,0.25,75
253,1,0,0.25,75
254,1,0,0.25,75
255,1,0,0.25,75
256,1,0,0.25,75
257,1,0,0.25,75
258,1,0,0.25,75
259,1,0,0.25,75
260,1,0,0.25,75
261,1,0,0.25,75
262,1,0,0.25,75
263,1,0,0.25,75
