Var1,gfp_mean,gfp_std,Var4,rfp_mean,rfp_std
0,158.608748834354,23.0786033048645,0,2764.61466259329,705.376533250823
4.98333333333333,125.655294283117,19.8703422131545,4.98333333333333,4237.93877033494,948.475785214372
10,120.460729690609,18.0307332891818,9.98333333333333,3655.17077655997,829.524240657195
14.9333333333333,110.42472382337,16.9036418475159,14.9166666666667,3447.48948791172,775.012498149639
20,101.656978187422,16.7876858033419,19.9833333333333,3034.07792818297,700.453367407257
24.95,102.739279232828,15.938601862367,24.9333333333333,3067.06411163488,701.68008117724
29.9666666666667,111.68295119725,15.7170651784027,29.9666666666667,3315.09286902195,720.042990908164
34.9333333333333,122.329077337706,16.3354048627361,34.9333333333333,3432.57748457781,708.524945589801
39.95,130.14739274457,17.5015833325981,39.9333333333333,3486.54263643205,701.071103167023
44.9333333333333,133.288840257962,19.6382879928918,44.9333333333333,3413.30551810311,684.735715613847
49.95,137.861991937459,21.0894544024235,49.9333333333333,3442.94388968847,675.905396164196
54.95,141.085085341993,22.4074579171797,54.9333333333333,3280.9415582666,644.124189244095
59.9666666666667,145.03298472041,24.1334526060844,59.9666666666667,3275.98463764178,636.027216600302
64.95,151.009468658779,26.6824283660589,64.9333333333333,3264.14185855605,632.95891074854
69.9333333333333,156.48415650592,28.1795384610657,69.9333333333333,3274.34172574212,628.925002238542
74.95,160.29168221422,29.295402851774,74.9333333333333,3226.46525771268,616.623278355864
79.95,161.775061164917,28.8799903983338,79.9333333333333,3177.37431417114,597.974902327815
84.95,161.946646036534,28.5412128510905,84.9333333333333,3131.37169270126,583.315597762993
89.95,166.500267339136,29.5433993476107,89.9333333333333,3120.6089543394,574.172317705866
94.95,171.002432287672,31.0755509207551,94.9333333333333,3079.93406196839,564.665536291774
99.95,177.472141576991,32.8865109144081,99.9333333333333,3045.44964748443,556.709422262515
104.95,185.008314074326,35.4798549578314,104.933333333333,2926.11906272854,547.715028389655
109.95,190.533722848929,37.4578782722253,109.933333333333,2831.31699834536,540.070518721427
114.95,195.551126537926,39.3349724009444,114.933333333333,2737.00841141672,533.960068640819
119.95,203.622314308212,42.9141523872174,119.933333333333,2590.39342909849,528.944157725758
124.95,209.821202765271,45.8812146994163,124.933333333333,2453.94946668214,516.612969526425
129.95,217.077005693262,50.6035444216042,129.933333333333,2321.24718293664,500.151282780392
134.933333333333,233.262572696369,56.3073423230495,134.933333333333,2301.32275093289,494.053161078224
139.933333333333,240.877294431295,60.7715997235831,139.933333333333,2134.75246137105,484.543509776061
144.95,251.217044148666,66.5683174973358,144.933333333333,1999.94377008681,473.733074800254
149.983333333333,258.434035159364,70.4271028953178,149.966666666667,1900.85363031073,462.799385251706
155.233333333333,267.642556862867,74.9701503577618,155.216666666667,1719.4243928176,444.93569164693
160.216666666667,281.560123440853,81.3889198810246,160.2,1579.21626755886,428.343110154658
165.116666666667,291.26764918277,86.0638992297875,165.116666666667,1484.23433515467,412.036094212856
169.95,302.70909099189,90.8720330265898,169.95,1368.14221050329,390.278178810698
174.983333333333,323.51014669285,96.8042576620582,174.966666666667,1335.17330466532,390.454879391982
180.1,342.182383263294,101.612846653383,180.083333333333,1320.42486776175,391.893996720554
184.95,365.945004604597,106.939890165604,184.933333333333,1273.19266069426,384.57861651802
189.95,375.000891223599,109.47200222012,189.933333333333,1145.80602920373,359.572036003597
194.983333333333,386.030435192628,112.328442429762,194.966666666667,1047.10598374394,336.967086966529
199.966666666667,402.069501286161,116.122054528851,199.966666666667,908.820385331623,303.935250922525
205,414.276330789711,118.599317316123,204.983333333333,811.31311261984,279.596340049838
209.95,427.820306460353,121.385962995678,209.933333333333,745.935662052237,260.987637103732
214.933333333333,446.121344212293,124.409991554629,214.933333333333,640.830613421169,230.434894744622
219.983333333333,460.004788421745,126.352753938342,219.966666666667,566.064732767386,209.266236383112
224.95,475.154880879265,127.284663681249,224.933333333333,522.283729556438,197.504093021511
229.95,489.068527077494,127.66447594112,229.933333333333,491.517041129499,186.553062822506
234.983333333333,500.051847494802,127.046377212339,234.983333333333,428.133707518831,165.686315458976
239.966666666667,513.961578345216,125.798807610127,239.95,394.043240618018,155.100623988967
244.95,523.676712782602,124.801331569555,244.933333333333,375.601773621861,149.118884065098
249.95,531.978910730821,123.013661843306,249.933333333333,330.034061050243,132.732233044617
254.95,549.488253181282,120.700964552762,254.933333333333,295.678835301023,120.192256143044
259.95,560.110821907352,118.649701498923,259.95,282.045275635227,114.883045933459
264.95,577.353065228585,116.444951442128,264.933333333333,251.456860568193,103.283934584026
269.95,595.011751777127,113.772164585655,269.933333333333,230.079221057893,94.2498892013192
274.95,605.598179650387,111.152020658058,274.933333333333,216.286887183714,88.046952968553
280,617.194033226005,107.891439294347,279.983333333333,189.527189351892,77.5070452505118
284.95,625.552054225791,106.505720800127,284.933333333333,169.603757217637,69.3218762261142
289.966666666667,637.416089104459,104.03183427764,289.95,158.123853994015,64.4242660789258
294.95,653.940266802746,101.431577874993,294.933333333333,138.480582352325,55.8143646416525
299.95,662.786541007976,99.0522520891538,299.95,122.24383169189,49.0336550204231
304.933333333333,675.242730746498,96.3664124126629,304.933333333333,113.06314474865,44.9568419833281
309.95,689.718809449433,92.8935675544776,309.933333333333,97.2291077403874,37.679558992983
315.216666666667,699.5043430253,90.5913852818492,315.2,86.5605510574101,32.9280675981712
320,709.912427495874,87.7033000069876,319.983333333333,79.8087736978335,29.7820200135438
324.95,722.556252718721,85.8845021926757,324.933333333333,79.2528301831888,29.2321984078376
329.966666666667,736.402623450098,85.9097122591063,329.95,72.2071041489866,25.9024681765862
335.283333333333,753.571603936279,85.7587329525545,335.266666666667,67.6582604940945,23.7558882571553
340.016666666667,771.140569114423,86.951093607659,340.016666666667,64.5141499127068,22.2222997807011
345.05,781.376951437552,87.3155608071133,345.05,58.9952365299776,19.8036451561119
350,795.850027650484,88.336633636901,349.983333333333,55.8278397964094,18.5252251446587
354.95,808.755707858902,89.6936874482267,354.933333333333,53.4500760180832,17.6633909377429
359.95,814.953542246443,89.9065894549091,359.933333333333,49.3244062798923,15.7969426881381
364.933333333333,824.310737540863,90.4477882884053,364.933333333333,46.6573301673471,14.566015406097
369.95,832.943059111883,90.121822242499,369.933333333333,45.0847279236923,13.8319863792215
374.966666666667,829.245833714668,90.160505800791,374.95,41.5286343614973,12.473592199962
380,837.785490910438,91.7037031801271,380,38.7843044860659,11.6225930785154
384.95,836.73633455222,92.4958793894021,384.933333333333,37.518406129081,11.18938975975
390,824.930673964184,94.724454613373,389.983333333333,34.5407154000957,10.4578411004211
394.95,818.549356076001,97.0153073136185,394.95,33.3666605117263,10.2384672351536
399.966666666667,813.224694235295,98.0750019758953,399.95,32.60646362654,9.99244554787309
404.933333333333,799.936079665834,100.809367543778,404.933333333333,31.24509671755,9.5755362735519
409.95,789.939238743865,103.153912091419,409.933333333333,31.5940806428922,9.38581422039549
414.933333333333,774.486535193401,107.381764245732,414.933333333333,32.654343461262,9.5749815720531
419.933333333333,761.359424564656,112.54647137603,419.933333333333,39.3332044987393,10.6454025465031
424.933333333333,746.036577255836,114.568817878665,424.933333333333,49.6430454510463,11.8213261943843
429.95,722.474504830373,116.861592919529,429.95,59.073059792404,12.8937914353725
434.933333333333,713.015698928093,120.863366441998,434.933333333333,69.1086561698828,14.2933719393938
439.95,695.159169913584,122.557509515932,439.95,96.5899354423548,16.5438084674175
444.95,658.985426597141,124.736925778042,444.95,113.291749330279,18.7852260935133
449.95,632.379636900329,125.20201995396,449.933333333333,130.301284502123,20.9424002488464
454.95,609.028155436963,125.754380325942,454.95,181.848712376811,25.1621950889169
459.933333333333,577.293989431277,123.787607953052,459.933333333333,227.134805567966,28.3441276475738
464.933333333333,550.825580437454,121.378826211172,464.933333333333,253.649806429804,31.3075960488041
